"","A11_S1","A12_S2","A13_S3","A15_S4","A16_S5","A17_PulledDown_S6","B11_PulledDown_S7","B12_PulledDown_S8","B13_PulledDown_S9","B15_PulledDown_S10","B16_PulledDown_S11","B17_S12","HN878_broth_R1_S1","HN878_broth_R2_S2","HN878_broth_R3_S3","HN878_mimic_D14_R1_S7","HN878_mimic_D14_R2_S8","HN878_mimic_D14_R3_S9","HN878_mimic_D28_R1_S10","HN878_mimic_D28_R2_S11","HN878_mimic_D42_R1_S12","HN878_mimic_D42_R2_S13","HN878_mimic_D42_R3_S14","HN878_mimic_D7_R1_S4","HN878_mimic_D7_R2_S5","HN878_mimic_D7_R3_S6","HN878_R1_1Probe","HN878_R2_1Probe","iMTB_0_S31","iMTB_0_S48","iMTB_14_S18","iMTB_28_S19","iMTB_28_S38","iMTB_42_S20","iMTB_42_S39","KA_2_S12","KA_2_S32","KA_3_S13","KA_3_S33","LLL_Cav_L2_20mm_18_S24","LLL_Cav_L2_20mm_18_S41","LLL_Cav_L2_20mm_21_S25","LLL_Cav_L2_20mm_21_S42","LUL_Cav_L1_15mm_12_S22","LUL_Cav_L1_15mm_12_S39","LUL_Cav_L1_15_S14","LUL_Cav_L1_15_S34","mimic_only_D42_R1_S15","R002_12_S25","R002_12_S4","R002_14_S5","R002_3_S1","R002_3_S22","R002_7_S23","R002_7_S2","R002_9_S24","R002_9_S3","R006_11_S28","R006_11_S8","R006_13_S29","R006_13_S9","R006_17_S10","R006_17_S30","R006_19_S11","R006_19_S31","R006_7_S26","R006_7_S6","R006_9_S27","R006_9_S7","R011_L1_30_S27","R011_L41_22_S23","R011_L4_27_S25","R011_L4_28_S26","R011_L5_18_S21","R011_L5_19_S22","R011_L6_12_S18","R011_R1_8_S16","R011_R1_9_S17","R011_R2_13_S19","R011_R2_14_S20","R011_R3_25_S24","R011_R4_31_S28","RLL_Cav_Cluster_R4_13mm_23_S26","RLL_Cav_Cluster_R4_13mm_23_S43","RLL_Cav_R3_18mm_X_15mm_16_S23","RLL_Cav_R3_18mm_X_15mm_16_S40","RLL_Cav_R3_28_S15","RLL_Cav_R3_28_S35","RUL_Cav_R1_30mm_X_22mm_26_S27","RUL_Cav_R1_30mm_X_22mm_26_S44","RUL_Cav_R1_30mm_X_22mm_7_S37","RUL_Cav_R2_18mm_X_12mm_27_S28","RUL_Cav_R2_18mm_X_12mm_27_S45","RUL_Cav_R2_18mm_X_12mm_8_S21","RUL_Cav_R2_18mm_X_12mm_8_S38","Stearic_acid_0_S29","Stearic_acid_0_S46","Stearic_acid_14_S30","Stearic_acid_14_S47","Stearic_acid_28_S16","Stearic_acid_28_S36","Stearic_acid_42_S17","Stearic_acid_42_S37"
"AS1726",3,1.69,8.81,13.31,0,958.815886,818.145206,1116.375286,1041.158694,1402.422832,672.685956,4.22,51.325232,79.8095,38.658692,55.289962,45.98057,22.696792,30.84251,20.966728,51.407616,70.664876,42.345376,0,20.431232,10.86439,15.39,20.22,87.409424,2,0,135.974792,2,145.448952,2.65,0,0,0,0,490.277482,0.31,346.16727,1.38,313.810954,0,803.439662,0,10.298,10.47,150.948084,522.582308,156.714964,2.15,13.47,687.08256,5.07,811.204354,1,37.113992,0.65,248.274482,25.02414,1,94.53564,9.96,2,220.53167,0,195.662,34.230552,523.509128,0,37.299356,92.239186,0,0,48.596262,0,27.08374,0,788.589946,21.739078,142.06091,0,405.02034,1,57.504032,0,374.085148,2,0.82,650.586448,6.54,845.651164,0,34.869028,2.86,213.518732,0,34.899922,1.99,26.548244,0
"AS1890",4.93,5.85,9.42,16.24,0,688.567772,842.431232,991.103904,1216.477998,1186.077342,736.702144,5.55,175.361826,192.900666,57.302402,104.692702,55.49537,0,53.661764,44.316574,62.829794,56.390028,58.710824,9.885528,48.45326,56.788638,39.91,41.45,175.707288,8.34,0,109.8392,2.81,155.829936,0.2,18.6018,0,74.4072,0,254.144878,1,436.504524,1,472.39714,0,244.43651,1,51.606708,6.31,74.858958,510.48654,363.93093,6.08,17.07,840.686206,14.43,836.779828,2,79.863728,1.49,355.126078,72.095262,1,113.346968,23.76,2.95,329.553032,0,34.5462,12.294904,133.684936,0,36.3178,199.340432,57.851598,0,30.391798,0,7.0864,0,421.95083,38.257702,0,0,234.302958,0,41.836334,0,788.866906,1.97,3.26,472.140258,6.39,219.483524,0,180.871502,6.41,20.922596,0,88.26997,15.54,119.583,1
"ASdes",30.55,8.38,42.34,35.53,0.84,1897.366528,9225.95152,1680.144448,5251.295776,4716.113888,1524.146688,5.38,2051.443968,2737.52912,8096.306336,4239.027328,2913.373952,3232.644096,3032.004544,1778.306688,1745.85328,1268.190624,1281.36176,362.477344,3748.792224,5591.700736,1075.24,1151.49,2364.693344,47.5,889.819808,8565.892352,147.3,1678.766336,22.38,1100.332064,0.38,1149.074304,1,267.365024,0.54,4238.76752,9.8,482.440864,1,955.426976,0.11,175.754464,272.58,5347.492512,6641.889856,5429.072224,52.42,21.78,1213.009664,11.23,847.120928,201.88,5338.704224,2.23,1990.569824,4635.053792,120.34,3117.775072,541.7,23.24,2974.937152,0,1213.710016,58.874752,204.333344,0,0,171.778272,55.598912,0,42.055008,0.948864,25.19008,34.972416,589.809344,1560.248704,1919.179104,1,224.530592,0,191.97552,0,1669.119552,6.03,3.61,1393.75696,20.11,804.263904,0,5572.37328,365.46,5123.312096,0,11158.97952,1190.2,2302.599232,38.66
"ASpks",2.49,2.58,8.41,7.16,1.19,879.057466,1052.128616,1154.861491,1252.825161,1399.782664,508.745195,3.02,195.045487,243.997327,286.998159,140.274617,164.042655,144.833857,132.307945,61.84969,96.109979,97.693715,86.337608,12.111981,160.41326,144.965835,138.94,131.24,343.676711,10.61,0,156.243955,3.9,115.594731,2.22,245.881013,0,140.262619,0.41,214.098311,0.86,426.876842,0,242.257617,0,294.964831,1.5,26.185635,7.58,117.466419,387.181459,319.818688,2.84,13.35,470.765526,5.26,455.000154,11.36,205.363767,1.7,315.703374,152.830524,3.23,127.988665,24.1,2.35,292.103308,0,61.1898,20.834527,90.332942,0,29.899016,81.418428,86.841524,0,27.77537,7.7987,14.049658,8.992501,342.860847,33.978336,41.045158,0,217.115808,0.5,100.345273,0,348.187959,0.62,1.08,322.356265,4.95,187.70871,0,441.70637,29.4,286.1523,0,197.049153,18.45,281.875013,3.04
"MT0009",0.92,0,0.74,0,0.7,282.79392,647.79765,517.56418,292.43561,399.48337,194.18168,2.78,121.66791,163.30001,51.34988,112.62407,56.06746,8.10902,73.42685,30.30556,45.31703,39.93638,30.93602,0,26.46845,47.99105,40.12,44.73,94.91684,0.64,0,84.04684,1.24,128.14643,1.46,0,0,42.65388,0,88.5905,0,90.34057,0.58,149.92991,0.86,255.2276,0,30.436,1,50.55637,82.45982,167.81106,0.14,8.28,379.363,3.15,284.88096,1.81,69.69844,0,371.26485,30.04468,3.62,63.33949,5.82,0,86.90565,0,206.14955,11.10914,54.21956,0,0,75.41606,0,0,1.78268,0,10.67434,0,100.55837,17.46809,46.24098,0,66.51353,0,17.47896,0,231.47665,0,0.2,229.74832,2.89,30.78384,0,66.79615,8.22,209.84535,0,68.57883,5.24,68.49187,2.32
"MT0012",1.88,2.45,12.19,7.59,0,531.417339,1230.534216,814.042605,1439.583483,977.76435,410.573217,3.08,1846.126221,2181.920442,1663.498983,1125.293931,819.126804,558.831621,670.297635,302.514231,540.29493,589.925142,533.050605,136.860666,616.347171,711.726393,1374.97,1603.58,961.993674,18.41,0,552.737607,10.59,668.550216,7.91,2078.778816,2.16,1412.362383,0.72,174.434565,0,367.22142,2,190.415985,0,421.488,0,8.649285,18.93,300.679002,394.073718,840.3417,5.61,5.45,401.923932,6.43,350.282871,24.82,720.340554,1,273.694989,604.633317,16.69,321.454848,55.26,2.01,166.092615,0,139.846206,1.993287,195.412374,0,40.83165,55.05687,0,0,0,9.729348,0,0,263.790021,71.644179,262.543119,0,175.145826,0,251.470278,1,266.459445,0.27,0.2,508.349652,6.91,112.159713,0,2331.056946,136.03,927.264819,0,825.817926,66.54,1044.640446,25.62
"MT0025",3.92,0.49,4.99,11.19,1.64,731.47034,896.3092,959.75014,1095.279084,1006.676936,625.90354,0.76,66.493636,75.033116,37.51992,60.643756,21.98748,0,21.355424,19.815628,20.797332,37.493024,14.954176,11.4308,15.26348,15.411408,28.99,33.38,79.403716,3,0,143.886876,3.95,125.812764,1.86,20.8444,0,0.356372,0,287.935128,0,246.87166,2.96,380.941496,1,753.551956,0,41.0164,6,80.566968,271.622704,244.289644,3,22.32,775.929428,13.68,871.154716,1,60.233592,2.57,788.436068,38.420936,0,51.848764,14.09,0.76,160.078268,0,65.330384,34.15792,290.665072,0,7.248472,269.995496,86.53788,0,6.724,0,17.193268,6.724,576.9192,32.840016,0,0,254.523572,1,0,0,512.079668,0,0,427.337096,8.16,319.786716,0,37.75526,1.59,148.6004,0,42.804984,1.62,58.46518,0
"MT0031",4.57,0.41,11.77,10.89,0,757.81727,1214.89305,1087.38959,1210.886425,1361.47648,502.666955,3.96,275.21718,305.98806,333.77295,272.863815,239.714265,152.513235,342.56222,157.405535,390.920075,480.398555,321.60968,25.96293,134.310505,175.928795,68.66,90.5,783.113835,13.97,0,121.877315,1.88,383.733455,1.99,175.09373,0,148.03425,0,190.183945,0.82,484.852235,0.49,521.56979,0.23,510.089755,0,58.01593,9.49,169.50976,137.583285,397.91269,1,21.64,679.21994,5.76,603.684515,8.64,233.46393,2,389.07281,151.61069,3.32,172.133045,31.92,0.23,388.558275,0,4.158455,14.76125,208.639725,0,0,197.353695,66.6365,0,2.791985,0,0,4.2175,338.538725,69.79119,267.684725,0,137.74355,0,2.32806,0,610.87957,1,2,395.07853,2.62,228.90903,0,362.95805,25.24,173.94657,0,242.96174,24.97,390.75981,5.62
"MT0032",4.31,8.97,16.72,20.69,1,1474.920224,3060.326388,2560.934232,3077.368804,3093.949744,1588.861868,5.23,1407.748636,1887.587088,930.990268,1275.305024,847.752876,661.885368,1061.920668,484.850296,605.435048,595.30404,522.347904,38.95716,438.638304,413.890312,345.04,384.22,734.304904,16.38,0,597.225068,14.97,512.302752,11.64,132.905088,0,498.01846,0,506.453812,2,570.116036,1.24,996.423272,1,1477.2598,1.18,321.809752,21.36,418.462144,871.288152,898.547432,5,39.53,1988.757652,21.45,1750.260416,17.66,578.283088,4.46,1027.546072,475.37394,17.61,653.73978,78.07,1,808.945964,0,24.426032,71.378532,428.078016,0,48.294,505.53086,25.16654,0,66.978412,0,20.3908,60.807512,1532.733508,69.317988,476.468604,0,609.963952,1,52.790708,0,1431.723924,2,3,1166.686452,12.74,924.0252,0,871.019852,31.08,1230.04818,0,885.808548,71.81,697.537072,10.49
"MT0036",3,3.5,5.97,8.57,0,482.386275,598.33062,703.741905,1061.13978,910.896975,302.825475,4.22,183.661065,206.164845,93.440565,47.318085,41.772825,37.4085,45.69705,30.154185,35.80947,34.789905,17.78004,3.6675,36.04419,34.3278,105.28,123.5,143.766,3,0,98.4357,0,110.53845,2,48.411,0,5.55993,0,153.82962,0,261.192015,0.64,342.77922,1,206.619615,1.95,17.523315,4,52.41591,362.45169,210.888585,1.93,16.58,643.77828,17.35,680.974065,2.95,82.63611,3,394.49097,58.40127,2,37.049085,5.76,0.96,217.7028,0,200.2455,18.960975,132.93954,0,0,213.97662,29.406015,0,56.912265,0,0,0,414.95562,12.638205,42.07356,0,137.28186,3,0,0,518.694525,6,6.07,332.224155,1.54,393.236685,0,114.426,3,397.520325,0,41.098005,1.58,67.11525,2
