"","BQ12_10_Probe_3A_S29","BQ12_3_Probe_4A_50_S27","BQ12_8_Probe_4A_50_S28","S_250754_Probe_4A_50_S24","S_349941_Probe_3D_25_S21","S_351946_Probe_4A_100_S22","S_503557_Probe_3D_10_S25","S_575533_Probe_3A_S26","S_687338_Probe_4A_100_S23","Saliva_1e6_1_Probe_3D_25_S11","Saliva_1e6_2_Probe_3D_10_S12","Saliva_1e6_3_Probe_1_S13","Saliva_1e6_4_Probe_4A_100_S14","Saliva_1e6_5_Probe_4A_50_S15","Saliva_1e6_6_Probe_None_S42","Saliva_1e6_7_Probe_4B_25_S43","Saliva_1e6_8_Probe_4A_10_S44","Saliva_1e8_1_Probe_4A_25_16hr_S16","Saliva_1e8_2_Probe_4A_10_16hr_S17","Saliva_1e8_3_Probe_3A_S18","Saliva_1e8_4_Probe_4A_25_S19","Saliva_1e8_5_Probe_4A_10_S20","THP1_1e6_1_Probe_3D_100_S1","THP1_1e6_2_Probe_3D_50_S2","THP1_1e6_3_Probe_3D_25_S3","THP1_1e6_4_Probe_3D_10_S4","THP1_1e6_5_Probe_1_S5","THP1_1e6_6_Probe_None_S36","THP1_1e6_7_Probe_4A_100_S37","THP1_1e6_8_Probe_4A_50_S38","THP1_1e6_EukmRNADep_1_Probe_4A_50_S30","THP1_1e6_EukmRNADep_2_Probe_4A_25_S31","THP1_1e6_EukmRNADep_3_Probe_4A_10_S32","THP1_1e8_1_Probe_4A_25_16hr_S6","THP1_1e8_2_Probe_4A_10_16hr_S7","THP1_1e8_3_Probe_3A_S8","THP1_1e8_4_Probe_4A_25_S9","THP1_1e8_5_Probe_4A_10_S10","THP1_1e8_6_Probe_None_S39","THP1_1e8_7_Probe_1_S40","THP1_1e8_8_Probe_4A_50_S41","THP1_1e8_EukmRNADep_1_Probe_4A_50_S33","THP1_1e8_EukmRNADep_2_Probe_4A_25_S34","THP1_1e8_EukmRNADep_3_Probe_4A_10_S35","Undetermined_S0"
"AS1726",155.27046354,0,175.4974862,19.96226108,0,0,23.29294322,199.80014832,0,7.5891111,5.13489174,11.00691432,8.59532868,6.91902024,0,15.24320258,5.23097208,14.29341804,12.06760832,12.16739594,10.272255,12.79845738,13.58584246,14.3827017,1.72048686,2.72031968,16.5838992,0,15.12178916,0,14.21927244,3.37444864,0,9.39064322,9.9210932,0,12.58219938,8.9711027,0,7.05526278,6.0639773,11.64672906,10.73072196,11.44046012,13.44548072
"AS1890",94.25682646,0,173.16380188,30.69580456,434.5606359,0,7.945626,0,0,13.57098748,17.4436165,25.4069585,16.90256986,10.31009194,0,16.54736406,14.64501998,23.1401963,19.83890828,19.31247734,18.5960423,23.24356916,17.17052436,9.41357376,16.85695116,18.0495037,4.55947834,0,19.8485635,14.88994368,11.5663335,20.26683826,26.82937614,10.55776162,11.40715524,8.40943088,12.71937936,13.56744428,0,1.02026444,24.04583822,26.93691226,22.16617062,18.2753827,25.48242866
"ASdes",1541.02325088,970.45596512,714.37011008,847.558648,378.86908256,485.648928,244.04917632,248.42400416,0,2994.61659136,3016.75516992,2726.57188704,2765.1800336,3042.72117216,3011.54906944,3320.68805696,3213.13319296,1334.4518304,1431.02856384,1615.11461856,1874.67150848,1328.980048,2296.17948928,2261.65281344,2265.73767296,2374.33719104,1995.50380384,2751.9337792,2383.3582896,2488.28016896,3378.56514624,3348.57189408,3410.08550464,2169.48761984,2206.61158496,1998.06675328,2230.85969152,2235.2677296,897.9523632,2289.24295456,2431.81993696,2879.97585952,2621.84350816,2812.03663232,2335.11375136
"ASpks",239.70522247,64.3470737,287.8782123,127.01598714,200.21188579,0,220.58520967,43.16610445,15.88253247,139.41640006,135.32586193,147.38421187,120.23405765,151.32747455,0,240.37675053,277.44259186,127.77947987,142.50906453,142.23652996,137.12340229,140.82634503,135.00323571,146.21746636,164.92252833,158.82016556,188.44616707,0,204.17614497,159.62589125,57.71535917,39.46718104,61.14918677,124.35621051,126.18254607,162.41842575,116.72632237,132.48605531,0,186.39006981,202.44009436,49.17038357,46.8395921,41.489084,140.27365716
"MT0009",26.7125902,0,54.2974979,4.5526821,31.2297274,0,24.6934877,0,0,21.5239044,16.0866217,25.6296121,28.2426514,26.6785671,0,19.3705574,21.3775942,52.747762,53.0036418,46.5684931,45.2277873,48.8185831,35.1146654,27.2765258,31.3799508,38.7904646,39.3283122,0,16.3486974,50.8681216,0,2.501187,23.3956097,39.2566789,34.3700704,4.0886418,43.9478448,47.6309269,0,44.7716821,37.4567156,10.0386624,41.1438196,28.0136205,44.7478768
"MT0012",430.22254851,484.55164923,274.77935469,873.91998057,0,75.42431169,877.42316052,132.85925211,0,610.04864751,609.06877572,635.13798414,656.50751355,630.9815856,570.83568705,574.3160364,568.6601943,714.80211387,729.82798545,740.77903398,763.74881283,700.22266833,739.90031931,783.91244751,881.48981724,739.9274526,747.93080724,2726.46827373,658.55094006,749.22688284,666.83028153,652.86752562,788.13751347,840.26495406,769.16537268,896.16769779,700.17208977,737.68030689,1369.58196567,735.99944787,664.48013469,715.01092605,709.25111691,679.88016468,625.54360011
"MT0025",44.28621396,0,128.99751936,11.70352544,0,0,0,59.83848976,0,5.217824,5.84934208,7.21572612,5.9093874,5.83898712,0,3.15886796,5.11185376,10.00437064,8.55434004,7.03437984,7.43990428,8.96887464,3.74668004,3.33369196,6.90911172,4.11623108,1.94532044,0,9.28389404,4.12087064,0,7.60773532,6.82075836,4.21272048,4.43320044,4.78385704,5.05362392,4.76570224,0,2.59653984,4.99720956,6.64485852,2.21999584,4.63021364,8.32955672
"MT0031",185.6241527,0,262.60339665,91.877394,0,0,72.49621015,13.5143883,0,69.9862072,83.23565215,67.24474785,58.42713625,85.5329244,0,77.853363,72.7886516,99.6171813,86.0005608,78.0500672,85.38252835,90.63314715,114.65248445,81.7339691,124.2327044,74.361273,78.9740371,0,120.733529,130.406787,49.2183937,68.674396,57.0254923,101.91934585,96.9203431,122.604412,107.81591695,85.91477685,442.05262325,105.40974885,115.30467865,72.62863965,82.91950835,53.1563578,104.6155936
"MT0032",80.68274672,586.17228852,117.4735452,37.96305484,0,0,27.99560252,36.17574756,0,75.3230786,84.26251264,74.85763176,79.48097736,80.24241276,191.38826344,75.74420228,54.92358568,120.56747348,114.22754448,100.73666924,92.40455908,111.382062,75.37867036,55.8058634,64.91389716,72.63374672,67.0862686,0,64.61136208,65.91444152,70.50848876,60.98609248,80.52230332,80.98893068,82.70712388,57.85020208,89.7978636,73.89507868,0,58.36265508,82.12437628,62.70997364,61.00809308,68.7395332,81.31378832
"MT0036",105.32539215,0,128.82394485,38.35464165,237.85534575,0,17.33341185,0,0,9.06760035,14.4500967,11.6001558,14.57911935,10.93127715,0,11.19445695,18.38422395,27.6225831,22.7433411,24.2418816,22.3648551,25.89629085,16.4311335,23.6474532,11.10276945,17.961948,4.55598855,0,19.83332655,40.73294205,7.8877656,6.2211069,7.24866705,18.5130999,26.621649,13.9759623,15.47765685,22.18258035,0,16.96196745,19.7148663,4.8230559,15.7139172,12.07216305,22.90141035
