"","BQ12_10_Probe_3A_S29","BQ12_3_Probe_4A_50_S27","BQ12_8_Probe_4A_50_S28","S_250754_Probe_4A_50_S24","S_349941_Probe_3D_25_S21","S_351946_Probe_4A_100_S22","S_503557_Probe_3D_10_S25","S_575533_Probe_3A_S26","S_687338_Probe_4A_100_S23","Saliva_1e6_1_Probe_3D_25_S11","Saliva_1e6_2_Probe_3D_10_S12","Saliva_1e6_3_Probe_1_S13","Saliva_1e6_4_Probe_4A_100_S14","Saliva_1e6_5_Probe_4A_50_S15","Saliva_1e6_6_Probe_None_S42","Saliva_1e6_7_Probe_4B_25_S43","Saliva_1e6_8_Probe_4A_10_S44","Saliva_1e8_1_Probe_4A_25_16hr_S16","Saliva_1e8_2_Probe_4A_10_16hr_S17","Saliva_1e8_3_Probe_3A_S18","Saliva_1e8_4_Probe_4A_25_S19","Saliva_1e8_5_Probe_4A_10_S20","THP1_1e6_1_Probe_3D_100_S1","THP1_1e6_2_Probe_3D_50_S2","THP1_1e6_3_Probe_3D_25_S3","THP1_1e6_4_Probe_3D_10_S4","THP1_1e6_5_Probe_1_S5","THP1_1e6_6_Probe_None_S36","THP1_1e6_7_Probe_4A_100_S37","THP1_1e6_8_Probe_4A_50_S38","THP1_1e6_EukmRNADep_1_Probe_4A_50_S30","THP1_1e6_EukmRNADep_2_Probe_4A_25_S31","THP1_1e6_EukmRNADep_3_Probe_4A_10_S32","THP1_1e8_1_Probe_4A_25_16hr_S6","THP1_1e8_2_Probe_4A_10_16hr_S7","THP1_1e8_3_Probe_3A_S8","THP1_1e8_4_Probe_4A_25_S9","THP1_1e8_5_Probe_4A_10_S10","THP1_1e8_6_Probe_None_S39","THP1_1e8_7_Probe_1_S40","THP1_1e8_8_Probe_4A_50_S41","THP1_1e8_EukmRNADep_1_Probe_4A_50_S33","THP1_1e8_EukmRNADep_2_Probe_4A_25_S34","THP1_1e8_EukmRNADep_3_Probe_4A_10_S35","Undetermined_S0"
"AS1726",116.3674,0,239.263732,16.600376,0,0,6.971746,36.887436,0,22.70709,17.321236,27.526554,27.330892,26.82629,0,27.95907,10.730516,69.97491,59.131116,38.936738,35.497206,66.06167,10.061146,9.752206,1.070992,1.462316,7.2086,0,3.017314,0,9.824292,3.0894,0,16.899018,17.393322,0,11.513164,9.031346,0,2.52301,3.872048,15.80743,13.624254,14.087664,44.250506
"AS1890",78.933638,0,263.79124,28.52276,90.245304,0,2.6574,0,0,45.379534,65.761792,70.99687,60.05724,44.670894,0,33.908424,33.562962,126.571962,108.616796,69.056968,71.811806,134.056972,14.208232,7.13069,11.727992,10.833334,2.2145,0,4.429,9.43377,8.928864,20.736578,26.26397,21.223768,22.348734,1.7716,13.003544,15.262334,0,0.407468,17.14023,40.853096,31.4459,25.139004,93.71764
"ASdes",1057.316896,73.119008,891.615872,645.317888,64.466272,5.648,66.87232,41.998528,0,8204.375168,9318.646496,6242.429408,8049.631264,10801.96944,26.726336,5575.807264,6033.634144,5980.49776,6419.34736,4731.815328,5931.224608,6279.966016,1556.803424,1404.363904,1291.86704,1167.577152,794.097504,1.1296,435.731904,1291.494272,2137.158016,2806.615456,2734.976224,3573.184608,3542.041536,344.878176,1868.087296,2060.175776,2.31568,748.224448,1420.347744,3578.821312,3047.457472,3169.0928,7036.154144
"ASpks",119.764036,3.533411,261.646385,70.422261,24.805865,0,44.014663,5.315114,0.293951,278.143635,304.401258,245.71904,254.879513,391.212787,0,293.921005,379.382759,417.014486,465.5224,303.453416,315.925337,484.593221,66.654889,66.114979,68.478585,56.87052,54.608897,0,27.181469,60.331943,26.587568,24.085985,35.712047,149.147138,147.497413,20.414597,71.178135,88.917178,0,44.362605,86.103647,44.494583,39.647391,34.050324,307.790693
"MT0009",12.96791,0,47.95844,2.45662,3.76102,0,4.79367,0,0,41.72993,35.16445,41.5234,58.18711,67.02442,0,23.02266,28.41418,167.30017,168.2676,96.54734,101.26492,163.25653,16.8485,11.98961,12.66355,13.50054,11.07653,0,2.11965,18.68553,0,1.47832,13.28314,45.75183,39.04504,0.50002,26.04452,31.06646,0,10.35911,15.47888,8.82644,33.84918,22.33785,95.41686
"MT0012",231.607656,28.643622,269.093745,522.074355,0,0.684918,188.651004,17.623467,0,1311.372102,1476.165129,1140.932892,1499.513808,1757.578617,3.977793,756.641208,837.839115,2513.491002,2568.741054,1702.829082,1895.949615,2596.164117,393.599544,381.929595,394.345929,285.487872,233.530695,0.8781,94.465998,305.113407,330.964671,429.346995,495.959661,1085.849679,968.737482,121.370982,460.027809,533.454531,2.774796,188.747595,304.507518,697.141152,646.826022,601.182384,1478.913582
"MT0025",48.150564,0,255.128732,14.1204,0,0,0,16.030016,0,22.653156,28.630792,26.176532,27.259096,32.84674,0,8.405,15.209688,71.045784,60.805132,32.658468,37.298028,67.159312,4.027676,3.281312,6.239872,3.207348,1.223768,0,2.6896,3.388896,0,10.106172,8.667236,10.99374,11.276148,1.31118,6.703828,6.95934,0,1.3448,4.626112,13.084904,4.088192,8.27052,39.77246
"MT0031",94.05025,0,242.042325,51.65594,0,0,14.668465,1.687,0,141.58991,189.863415,113.68693,125.605585,224.23604,0,96.538575,100.93321,329.681975,284.88369,168.860265,199.48775,316.270325,57.400175,37.476705,52.305435,27.000435,23.204685,0,16.29642,49.98581,22.99381,42.503965,33.77374,123.96076,114.8847,15.630055,66.67024,58.47142,0.8435,25.43996,49.73276,66.644935,71.17453,44.241575,232.780695
"MT0032",174.87794,139.516,463.171656,91.307856,0,0,24.232856,19.3176,0,651.893876,822.23218,541.397204,730.90286,899.888932,5.366,401.763152,325.802056,1706.913868,1618.675364,932.310304,923.54226,1662.644368,161.441476,109.4664,116.92514,112.836248,84.332056,0,37.315164,108.07124,140.889696,161.473672,204.004588,421.381248,419.385096,31.541348,237.542088,215.144404,0,60.26018,151.525108,246.170616,224.009036,244.721796,773.99184
"MT0036",95.611725,0,212.737005,38.64078,53.5455,0,6.286095,0,0,32.868135,59.054085,35.141985,56.149425,51.345,0,24.872985,45.675045,163.79055,134.986005,93.968685,93.62394,161.905455,14.736015,19.430415,8.37657,11.684655,2.398545,0,4.79709,27.97569,6.6015,6.902235,7.694415,40.3425,56.53818,3.190725,17.14923,27.05148,0,7.335,15.234795,7.929135,24.168825,18.00009,91.298745
