"","BQ12_10_Probe_3A_S29","BQ12_3_Probe_4A_50_S27","BQ12_8_Probe_4A_50_S28","S_250754_Probe_4A_50_S24","S_349941_Probe_3D_25_S21","S_351946_Probe_4A_100_S22","S_503557_Probe_3D_10_S25","S_575533_Probe_3A_S26","S_687338_Probe_4A_100_S23","Saliva_1e6_1_Probe_3D_25_S11","Saliva_1e6_2_Probe_3D_10_S12","Saliva_1e6_3_Probe_1_S13","Saliva_1e6_4_Probe_4A_100_S14","Saliva_1e6_5_Probe_4A_50_S15","Saliva_1e6_6_Probe_None_S42","Saliva_1e6_7_Probe_4B_25_S43","Saliva_1e6_8_Probe_4A_10_S44","Saliva_1e8_1_Probe_4A_25_16hr_S16","Saliva_1e8_2_Probe_4A_10_16hr_S17","Saliva_1e8_3_Probe_3A_S18","Saliva_1e8_4_Probe_4A_25_S19","Saliva_1e8_5_Probe_4A_10_S20","THP1_1e6_1_Probe_3D_100_S1","THP1_1e6_2_Probe_3D_50_S2","THP1_1e6_3_Probe_3D_25_S3","THP1_1e6_4_Probe_3D_10_S4","THP1_1e6_5_Probe_1_S5","THP1_1e6_6_Probe_None_S36","THP1_1e6_7_Probe_4A_100_S37","THP1_1e6_8_Probe_4A_50_S38","THP1_1e6_EukmRNADep_1_Probe_4A_50_S30","THP1_1e6_EukmRNADep_2_Probe_4A_25_S31","THP1_1e6_EukmRNADep_3_Probe_4A_10_S32","THP1_1e8_1_Probe_4A_25_16hr_S6","THP1_1e8_2_Probe_4A_10_16hr_S7","THP1_1e8_3_Probe_3A_S8","THP1_1e8_4_Probe_4A_25_S9","THP1_1e8_5_Probe_4A_10_S10","THP1_1e8_6_Probe_None_S39","THP1_1e8_7_Probe_1_S40","THP1_1e8_8_Probe_4A_50_S41","THP1_1e8_EukmRNADep_1_Probe_4A_50_S33","THP1_1e8_EukmRNADep_2_Probe_4A_25_S34","THP1_1e8_EukmRNADep_3_Probe_4A_10_S35","Undetermined_S0"
"AS1726",108.32126366,0,131.91604126,14.19702876,0,0,16.147264,163.19147918,0,5.6113802,3.77462892,8.25116952,6.44201688,5.03767862,0,10.98261104,3.78255838,10.96036736,9.221859,9.23545236,7.6895166,9.80637348,9.86363036,10.4071588,1.24574906,1.97165508,12.0131319,0,10.69076572,0,10.54092982,2.50303188,0,6.77392142,7.16236198,0,8.95586166,6.4408841,0,4.9281079,4.21569226,8.76400992,7.95551394,8.44806728,9.9880302
"AS1890",65.75638862,0,130.16184366,21.83062958,309.55273096,0,5.50808156,0,0,10.0343424,12.8228408,19.04585154,12.66818012,7.50662352,0,11.92224794,10.58982758,17.74407986,15.16055558,14.6586613,13.92043558,17.80954048,12.46621772,6.81153626,12.20561536,13.08202588,3.30279388,0,14.03248928,10.5038164,8.57427826,15.03282322,19.92669106,7.61575408,8.23519402,6.05869484,9.05349606,9.74087686,0,0.7126261,16.7168176,20.26958424,16.43362734,13.49534016,18.92963458
"ASdes",1075.06370272,748.60806016,536.96970592,602.77670016,269.88165984,506.69778144,169.18064384,202.9060944,0,2214.21944096,2217.61524448,2043.92094496,2072.44763744,2215.3698256,2173.45850272,2392.53662848,2323.43086336,1023.26826688,1093.56643776,1225.91613472,1403.31778144,1018.28390688,1667.08243136,1636.51330912,1640.55072544,1720.88143872,1445.51173024,2017.07441952,1684.979136,1755.31447072,2504.57826368,2483.78244064,2532.73625472,1564.9404976,1593.0280016,1439.53366112,1587.89476032,1604.84011584,625.54017344,1599.03668288,1690.61561408,2167.13692224,1943.79116768,2076.52605824,1734.64346848
"ASpks",167.22548444,49.63722575,216.38908914,90.33270204,142.61788639,0,152.91486994,35.25690287,9.78580876,103.08447639,99.47799757,110.48370298,90.11301866,110.17979364,0,173.19011017,200.61993777,97.98232689,108.90290649,107.96142343,102.64606947,107.90323313,98.01568133,105.80178343,119.41531413,115.11031175,136.50748496,0,144.34781802,112.60536931,42.78522794,29.2745201,45.41668929,89.70322697,91.09547489,117.01655399,83.08417033,95.12008401,0,130.19353746,140.73755983,36.99997231,34.72611135,30.63731293,104.20251002
"MT0009",18.635528,0,40.8136977,3.2378469,22.2459985,0,17.118076,0,0,15.914767,11.8252556,19.212725,21.1672597,19.4243639,0,13.9564278,15.458227,40.4474874,40.5044462,35.3467399,33.8560281,37.4055179,25.4941719,19.7370938,22.7213436,28.1147115,28.4888569,0,11.558071,35.884044,0,1.8552916,17.3763472,28.317437,24.812949,2.9456613,31.2814686,34.1972374,0,31.27299,26.040172,7.5539978,30.5032853,20.6863709,33.2410035
"MT0012",300.13598496,373.78231977,206.54308179,621.52471203,0,78.69330237,608.25029871,108.51594924,0,451.06995966,447.72615486,476.11864026,492.03938355,459.41032908,411.97650861,413.79136569,411.20070726,548.11590327,557.72152698,562.27157775,571.71729945,536.5208562,537.18575352,567.23257932,638.25962964,536.28754503,541.78936839,1998.40904511,465.58029873,528.52918029,494.3307855,484.26038346,585.36499308,606.11765724,555.28664349,645.65586594,498.3726798,529.62733215,954.09130086,514.09576278,461.95049676,538.03452498,525.82700316,502.05209442,464.6861295
"MT0025",30.89536796,0,96.963442,8.32343788,0,0,0,48.87446984,0,3.85809672,4.29986352,5.4091218,4.42896432,4.25131624,0,2.27593952,3.69638452,7.6714116,6.5370728,5.33925944,5.56922024,6.87206248,2.7201942,2.412235,5.002656,2.98337156,1.40914868,0,6.56349812,2.90698692,0,5.64298252,5.06592884,3.03877732,3.20048952,3.44658792,3.59713828,3.42157464,0,1.81366452,3.47408908,5.00010088,1.64590072,3.419154,6.18762652
"MT0031",129.49690355,0,197.390809,65.3424023,0,0,50.2560674,11.0382097,0,51.74779715,61.1864778,50.40865655,43.7899651,62.27552065,0,56.0929187,52.63380955,76.38727565,65.7201216,59.24212595,63.91460985,69.44442715,83.24054445,59.1420025,89.9530331,53.89585425,57.2075196,0,85.3557894,91.99320655,36.4862673,50.9387963,42.35390635,73.5186165,69.97009635,88.3319948,76.74188305,61.6836367,307.94692005,73.62869325,80.1605042,54.6518833,61.4751235,39.25286295,77.7138481
"MT0032",56.286657,452.17232188,88.30117888,26.999029,0,0,19.4072122,29.5473424,0,55.69392864,61.9413478,56.1154816,59.56946848,58.42350552,138.12642064,54.5732932,39.71548312,92.45210184,87.29065376,76.46195844,69.17106692,85.34258112,54.7267608,40.38065248,47.00218916,52.64378692,48.59621312,0,45.67871892,46.49821444,52.26891816,45.23613124,59.80546516,58.42060788,59.7090918,41.67900984,63.91689436,53.05396396,0,40.76636056,57.09338144,47.18828204,45.23033596,50.7602136,60.40409612
"MT0036",73.4780691,0,96.83292915,27.2775447,169.432632,0,12.0159036,0,0,6.7046301,10.6222536,8.6957892,10.92672945,7.95898845,0,8.065566,13.29373395,21.18120615,17.38006245,18.4002876,16.74162405,19.84212855,11.9293506,17.111088,8.03916,13.01852475,3.30023655,0,14.02165935,28.73434905,5.8473153,4.61452185,5.3837433,13.3542477,19.21909365,10.0691946,11.01680325,15.92626545,0,11.8479321,13.7058876,3.62928465,11.6500338,8.91459225,17.0123589
