GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	sputum_250754_W0	sputum_503557_W0
hrp1	Rv2626c	hypoxic response protein	cholesterol:32%; hypoxia_hypoxic:22%	9.3171	3.18494074711754e-13	1.56	2	1	1	2	2	2514.81	0
rip3	Rv2625c	zinc metalloprotease Rip3	cholesterol:20%; hypoxia_hypoxic:16%; microaerophilic:15%; ctl_stationary:12%	8.617	2.59132585517273e-13	2.07	1	3	3	1	3	1034.55	0
Rv2624c	Rv2624c	universal stress protein	hypoxia_hypoxic:16%; hypoxia_fatty_acids:16%; cholesterol:14%; ctl_stationary:13%; microaerophilic:12%	8.5391	6.5350798401998e-13	2.29	3	2	2	4	1	1134.61	0
Rv2627c	Rv2627c	hypothetical protein	cholesterol:27%; ctl_stationary:17%; butyrate:10%	7.0513	2.25612894983373e-12	4.46	4	4	8	3	4	510.82	1.43
Rv1738	Rv1738	hypothetical protein	cholesterol:29%; ctl_stationary:13%	6.5862	1.03594800163764e-11	4.98	6	5	4	5	5	2922.66	24.66
TB31.7	Rv2623	universal stress protein	cholesterol:22%; microaerophilic:17%; ctl_stationary:15%; hypoxia_hypoxic:13%	4.9163	4.55149881633102e-09	8.16	7	10	9	7	8	2677.75	84.06
tgs1	Rv3130c	diacyglycerol O-acyltransferase	cholesterol:42%	5.7421	2.27360268999514e-10	8.25	5	6	21	6	7	1231.05	20.2
Rv3129	Rv3129	conserved hypothetical protein	cholesterol:38%; nutrient_limitation:12%; butyrate:10%	4.6433	1.00818576881807e-08	8.69	8	11	11	8	6	875.57	29.66
Rv3131	Rv3131	NAD(P)H nitroreductase	cholesterol:35%; nutrient_limitation:14%; butyrate:10%	3.9748	1.33949501212839e-07	13.26	9	25	14	9	12	1816.67	110.89
Rv1733c	Rv1733c	transmembrane protein	cholesterol:33%; nutrient_limitation:12%; butyrate:12%	3.5243	6.53645115067446e-07	17.2	12	31	26	13	9	578.05	45.91
Rv2030c	Rv2030c	hypothetical protein	cholesterol:39%; hypoxia_hypoxic:14%	3.6898	6.80627263640416e-07	17.77	10	27	19	10	27	4017.3	303.4
