GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	S_250754_Probe_4A_50_S24	S_687338_Probe_4A_100_S23
hspX	Rv2031c	alpha-crystallin	cholesterol:42%; hypoxia_hypoxic:15%	10.7027	5.27767808084268e-07	2.35	1	2	2	1	8	14753.15	0
esxB	Rv3874	ESAT-6-like protein EsxB	human_sputum:12%	10.7715	6.94998309601782e-07	2.55	2	1	1	2	10	17859.61	0
prpC	Rv1131	methylcitrate synthase PrpC	human_sputum:22%; hypoxia_fatty_acids:16%; PBS_RIF_DDmtb:15%; acidic_tyloxopol:14%; nutrient_limitation:11%	9.1276	2.53984219360473e-06	9.7	4	13	13	4	19	3305.73	0
prpD	Rv1130	methylcitrate dehydratase PrpD	hypoxia_fatty_acids:21%; PBS_RIF_DDmtb:20%; human_sputum:17%; nutrient_limitation:12%; acidic_tyloxopol:11%	9.1506	1.69873359475913e-06	9.71	3	15	17	3	17	2995.6	0
Rv1405c	Rv1405c	methyltransferase	nutrient_limitation:23%; ctl_stationary:19%	8.9635	5.37990918521379e-06	12.58	5	11	15	8	30	3395.14	0
PPE18	Rv1196	PPE family protein PPE18	acidic:16%	8.7477	4.8578286851673e-06	15.14	6	21	21	7	27	2539.98	0
espG3	Rv0289	ESX-3 secretion-associated protein EspG3	microaerophilic:27%; zinc_limitation:13%; cholesterol:13%	8.8142	6.52718776511875e-06	17.1	10	17	18	11	34	2969.16	0
Rv0079	Rv0079	hypothetical protein	hypoxia_fatty_acids:18%; cholesterol:10%	8.7788	6.92870757552407e-06	17.23	12	16	14	12	37	2985.71	0
fbpA	Rv3804c	diacylglycerol acyltransferase/mycolyltransferase Ag85A	hypoxia_rar:13%; acidic:10%	8.7657	6.13259503907244e-06	17.53	11	19	22	9	31	2720.72	0
Rv1072	Rv1072	transmembrane protein	hypoxia_fatty_acids:15%	8.7629	6.81421371301029e-06	17.37	8	18	16	13	38	2932.17	0
PE_PGRS38	Rv2162c	PE-PGRS family protein PE_PGRS38	microaerophilic:22%	8.6788	4.01558190297399e-06	17.59	7	31	34	5	22	2143.92	0
esxH	Rv0288	ESAT-6-like protein EsxH	microaerophilic:21%; zinc_limitation:18%; cholesterol:11%	9.0111	1.36363734560848e-05	21.01	18	3	3	34	88	5270.25	0
TB31.7	Rv2623	universal stress protein	cholesterol:22%; microaerophilic:17%; ctl_stationary:15%; hypoxia_hypoxic:13%	8.6663	9.11907984275368e-06	23.07	14	20	30	16	40	2668.35	0
mcr7	Rvnc0014	putative small regulatory RN	acidic:15%; cholesterol:13%; nutrient_limitation:12%	8.8004	1.46077710171789e-05	23.73	22	10	9	27	69	3833.56	0
rpfA	Rv0867c	resuscitation-promoting factor RpfA	tyloxopol:14%; human_sputum:12%	8.5355	7.2762643838089e-06	22.35	9	30	37	10	35	2151.25	0
fdxA	Rv2007c	ferredoxin	hypoxia_hypoxic:16%; ctl_stationary:15%	8.851	1.51924678343751e-05	23.95	16	6	6	37	90	4404.23	0
carD	Rv3583c	RNA polymerase-binding transcription factor CarD	microaerophilic:12%; nutrient_limitation:11%	8.643	1.49929845603772e-05	24.85	15	12	12	28	78	3322.44	0
Rv1375	Rv1375	hypothetical protein	acidic_tyloxopol:21%; acidic:19%	8.3342	9.30249320549445e-06	29.09	13	39	49	15	39	1812.46	0
whiB1	Rv3219	transcriptional regulator WhiB1	zinc_limitation:14%; hypoxia_rar:10%	8.922	2.22718217325719e-05	28.68	29	4	4	47	111	5208.85	0
hsp	Rv0251c	heat shock protein	hypoxia_fatty_acids:57%; ctl_stationary:11%	8.6086	1.64719710346904e-05	27.49	19	14	11	33	82	3265.09	0
eccD3	Rv0290	ESX-3 secretion system protein EccD	microaerophilic:42%; zinc_limitation:12%; low_iron:10%	8.1466	1.12316745668968e-05	33.69	17	50	50	17	44	1546	0
MTS1850	MTS1850	small intergenic RNA	acidic:16%; cholesterol:13%; nutrient_limitation:12%	8.7181	2.22977527377019e-05	30.72	28	8	10	42	99	3926.01	0
devR	Rv3133c	two component transcriptional regulator DevR	hypoxia_hypoxic:16%; cholesterol:14%; ctl_stationary:10%	8.3133	1.95531245588337e-05	34.8	20	24	27	32	86	2348.47	0
aprA	Rv2395A	acid and phagosome regulated protein AprA	acidic:18%; cholesterol:15%; nutrient_limitation:13%	8.7964	3.18553088374618e-05	37.79	34	5	5	67	150	5075.15	0
