GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	S_250754_Probe_4A_50_S24	INDIGO.NoDrug.Control
hspX	Rv2031c	alpha-crystallin	cholesterol:42%; hypoxia_hypoxic:15%	9.9822	2.60338127038373e-13	7.34	2	1	2	2	69	14742.66	8.51
hrp1	Rv2626c	hypoxic response protein	cholesterol:32%; hypoxia_hypoxic:22%	7.7293	9.75762130346018e-11	3.39	5	3	1	8	2	2511.61	6.49
Rv2030c	Rv2030c	hypothetical protein	cholesterol:39%; hypoxia_hypoxic:14%	9.5774	3.54828697323449e-14	8.26	1	2	3	1	85	4019.67	5.01
tgs1	Rv3130c	diacyglycerol O-acyltransferase	cholesterol:42%	7.1794	3.32406847499004e-11	5.97	6	7	7	5	5	1233.77	7.88
TB31.7	Rv2623	universal stress protein	cholesterol:22%; microaerophilic:17%; ctl_stationary:15%; hypoxia_hypoxic:13%	7.7249	2.49535674181923e-11	7.91	3	4	20	3	17	2670.27	10.29
Rv2624c	Rv2624c	universal stress protein	hypoxia_hypoxic:16%; hypoxia_fatty_acids:16%; cholesterol:14%; ctl_stationary:13%; microaerophilic:12%	7.4687	1.62800560816852e-10	11.32	8	5	69	6	1	1134.17	3.63
rip3	Rv2625c	zinc metalloprotease Rip3	cholesterol:20%; hypoxia_hypoxic:16%; microaerophilic:15%; ctl_stationary:12%	6.6111	2.27813747922477e-10	9.52	9	11	12	9	7	1032.93	9.5
Rv3131	Rv3131	NAD(P)H nitroreductase	cholesterol:35%; nutrient_limitation:14%; butyrate:10%	6.9629	1.5003269051446e-10	12.88	7	8	37	7	14	1815.89	13.04
prpD	Rv1130	methylcitrate dehydratase PrpD	hypoxia_fatty_acids:21%; PBS_RIF_DDmtb:20%; human_sputum:17%; nutrient_limitation:12%; acidic_tyloxopol:11%	7.0123	2.46682260058994e-11	14.02	4	10	6	4	83	2992.21	27.18
Rv2627c	Rv2627c	hypothetical protein	cholesterol:27%; ctl_stationary:17%; butyrate:10%	6.0284	1.79870442162849e-09	13.5	17	15	24	14	3	509.64	6.5
